,count
0,35
1,251
2,53
3,296
4,16
5,283
6,151
7,184
8,123
9,668
10,59
11,10
12,41
13,68
14,22
15,233
16,73
17,55
18,179
19,121
20,7
21,451
22,128
23,225
24,324
25,318
26,250
27,55
28,198
29,25
30,17
31,131
32,406
33,261
34,56
35,3
36,263
37,192
38,233
39,126
40,169
41,84
42,224
43,63
44,262
45,331
46,651
47,115
48,151
49,285
50,23
51,178
52,99
53,669
54,306
55,258
56,202
57,844
58,363
59,101
60,126
61,382
62,171
63,98
64,453
65,3
66,239
67,4
68,1
69,49
70,328
71,136
72,463
73,289
74,181
75,2
76,169
77,73
78,5
79,154
80,521
81,48
82,53
83,206
84,218
85,8
86,26
87,101
88,585
89,13
90,189
91,28
92,504
93,449
94,213
95,49
96,332
97,36
98,409
99,226
100,40
101,106
102,402
103,444
104,28
105,492
106,465
107,198
108,213
109,205
110,315
111,17
112,3
113,134
114,134
115,358
116,447
117,203
118,290
119,690
120,399
121,72
122,6
123,473
124,6
125,48
126,5
127,18
128,4
129,148
130,9
131,149
132,66
133,154
134,294
135,90
136,72
137,85
138,10
139,155
140,5
141,24
142,475
143,317
144,167
145,57
146,197
147,241
148,435
149,566
150,174
151,138
152,516
153,212
154,397
155,96
156,372
157,546
158,16
159,644
160,173
161,366
162,150
163,7
164,45
165,323
166,243
167,43
168,208
169,254
170,56
171,52
172,67
173,192
174,154
175,374
176,337
177,730
178,317
179,133
180,163
181,308
182,125
183,196
184,8
185,260
186,12
187,441
188,171
189,11
190,668
191,425
192,2
193,9
194,684
195,7
196,329
197,152
198,135
199,376
200,90
201,67
202,8
203,204
204,118
205,78
206,12
207,250
208,79
209,86
210,588
211,5
212,268
213,6
214,221
215,195
216,177
217,614
218,171
219,167
220,167
221,434
222,4
223,30
224,63
225,165
226,173
227,194
228,189
229,531
230,857
231,213
232,71
233,108
234,66
235,51
236,21
237,5
238,13
239,172
240,12
241,259
242,62
243,336
244,273
245,157
246,579
247,158
248,210
249,95
250,281
251,47
252,176
253,174
254,540
255,433
256,34
257,123
258,61
259,348
260,206
261,4
262,218
263,196
264,8
265,1
266,121
267,343
268,73
269,13
270,149
271,95
272,307
273,8
274,73
275,31
276,527
277,189
278,348
279,2
280,59
281,59
282,587
283,93
284,119
285,526
286,87
287,396
288,91
289,57
290,322
291,10
292,557
293,538
294,30
295,99
296,112
297,869
298,100
299,94
300,192
301,179
302,169
303,47
304,39
305,117
306,153
307,18
308,82
309,2
310,89
311,91
312,13
313,150
314,433
315,176
316,98
317,165
318,185
319,92
320,441
321,79
322,71
323,86
324,283
325,156
326,341
327,168
328,261
329,459
330,398
331,161
332,431
333,44
334,320
335,175
336,16
337,368
338,151
339,129
340,208
341,163
342,195
343,537
344,112
345,118
346,126
347,2
348,4
349,107
350,4
351,375
352,28
353,227
354,285
355,278
356,71
357,534
358,13
359,99
360,3
361,98
362,5
363,70
364,194
365,68
366,8
367,98
368,476
369,8
370,19
371,16
372,239
373,35
374,369
375,153
376,36
377,232
378,23
379,230
380,501
381,149
382,17
383,278
384,2
385,84
386,193
387,356
388,9
389,17
390,23
391,596
392,4
393,35
394,240
395,225
396,203
397,235
398,30
399,373
400,308
401,47
402,15
403,62
404,186
405,7
406,6
407,3
408,29
409,6
410,114
